Date,Open,High,Low,Close,Adj Close,Volume
2024-03-12,6885.919922,6928.410156,6878.490234,6879.589844,6879.589844,101400
2024-03-13,6890.229980,6980.640137,6889.560059,6965.509766,6965.509766,122400
2024-03-14,6962.439941,6989.379883,6939.009766,6967.959961,6967.959961,118400
2024-03-15,6946.700195,6946.700195,6790.959961,6822.319824,6822.319824,405500
2024-03-18,6838.029785,6910.290039,6838.029785,6853.290039,6853.290039,76900
2024-03-19,6851.350098,6900.589844,6831.180176,6848.430176,6848.430176,118500
2024-03-20,6856.020020,6871.220215,6840.700195,6856.770020,6856.770020,93100
2024-03-21,6875.240234,6963.220215,6875.240234,6963.220215,6963.220215,87200
2024-03-22,6917.680176,6919.759766,6871.450195,6881.970215,6881.970215,98100
2024-03-25,6879.750000,6886.529785,6843.500000,6853.100098,6853.100098,95500
2024-03-26,6840.850098,6898.169922,6797.649902,6898.169922,6898.169922,92100
2024-03-27,6884.459961,6925.370117,6884.459961,6903.529785,6903.529785,113000
2024-03-28,null,null,null,null,null,null
2024-03-29,null,null,null,null,null,null
2024-04-01,6948.540039,6991.770020,6947.270020,6979.810059,6979.810059,85000
2024-04-02,7016.930176,7070.720215,6960.430176,6960.430176,6960.430176,133000
2024-04-03,6960.549805,6964.930176,6863.819824,6863.819824,6863.819824,64400
2024-04-04,6870.899902,6881.580078,6809.779785,6827.060059,6827.060059,69400
2024-04-05,6819.229980,6819.229980,6728.839844,6745.459961,6745.459961,84900
2024-04-08,6750.740234,6750.740234,6686.500000,6741.069824,6741.069824,81400
2024-04-09,null,null,null,null,null,null
2024-04-10,null,null,null,null,null,null
2024-04-11,6727.270020,6727.270020,6669.680176,6677.649902,6677.649902,123400
2024-04-12,6681.259766,6719.200195,6659.390137,6659.390137,6659.390137,131000
2024-04-15,6630.430176,6630.430176,6556.930176,6562.430176,6562.430176,91600
2024-04-16,6534.939941,6534.939941,6404.970215,6404.970215,6404.970215,122300
2024-04-17,6432.100098,6497.819824,6424.810059,6450.040039,6450.040039,94500
2024-04-18,6481.899902,6548.890137,6481.009766,6523.189941,6523.189941,101500
2024-04-19,6511.500000,6540.810059,6406.979980,6443.000000,6443.000000,103200
2024-04-22,6484.609863,6509.660156,6439.439941,6444.080078,6444.080078,60700
2024-04-23,6463.649902,6515.430176,6463.649902,6506.799805,6506.799805,61600
2024-04-24,6538.979980,6595.410156,6538.979980,6572.750000,6572.750000,66900
2024-04-25,6598.140137,6598.140137,6574.879883,6574.879883,6574.879883,53900
2024-04-26,6557.950195,6628.750000,6547.759766,6628.750000,6628.750000,58500
2024-04-29,6629.569824,6769.640137,6629.569824,6769.640137,6769.640137,107600
